StockCode,Product_Name,Number_Of_Countries_As_Top_10,List_Of_Countries
20724,RED SPOTTY CHARLOTTE BAG,3,"WrappedArray(Portugal, Israel, Belgium)"
84598,BOYS ALPHABET IRON ON PATCHES,3,"WrappedArray(United Arab Emirates, Bermuda, Cyprus)"
21238,RED SPOTTY CUP,2,"WrappedArray(RSA, Hong Kong)"
20675,BLUE SPOTTY BOWL,2,"WrappedArray(RSA, Hong Kong)"
22584,PACK OF 6 PANNETONE GIFT BOXES,2,"WrappedArray(Austria, Nigeria)"
22047,EMPIRE GIFT WRAP,2,"WrappedArray(Nigeria, Cyprus)"
21429,RED GINGHAM ROSE JEWELLERY BOX,2,"WrappedArray(Thailand, Lithuania)"
22491,PACK OF 12 COLOURED PENCILS,2,"WrappedArray(Nigeria, Japan)"
22065,CHRISTMAS PUDDING TRINKET POT,2,"WrappedArray(United Arab Emirates, Malta)"
20728,LUNCH BAG CARS BLUE,2,"WrappedArray(Portugal, Spain)"
23076,ICE CREAM SUNDAE LIP GLOSS,2,"WrappedArray(Bahrain, Iceland)"
21210,SET OF 72 RETROSPOT PAPER  DOILIES,2,"WrappedArray(Sweden, USA)"
84050,counted,2,"WrappedArray(Norway, Unspecified)"
21213,PACK OF 72 SKULL CAKE CASES,2,"WrappedArray(Norway, USA)"
21975,PACK OF 60 DINOSAUR CAKE CASES,2,"WrappedArray(EIRE, Canada)"
22554,PLASTERS IN TIN WOODLAND ANIMALS,2,"WrappedArray(Germany, Switzerland)"
21918,SET 12 KIDS COLOUR  CHALK STICKS,2,"WrappedArray(Austria, Japan)"
22423,smashed,2,"WrappedArray(Brazil, Lebanon)"
22556,PLASTERS IN TIN CIRCUS PARADE,2,"WrappedArray(Switzerland, Saudi Arabia)"
POST,POSTAGE,2,"WrappedArray(Germany, Belgium)"
21098,CHRISTMAS TOILET ROLL,2,"WrappedArray(United Arab Emirates, European Community)"
21914,BLUE HARMONICA IN BOX,2,"WrappedArray(Australia, Lithuania)"
22328,ROUND SNACK BOXES SET OF 4 FRUITS,2,"WrappedArray(Germany, Japan)"
21373,MIRRORED WALL ART SNOWFLAKES,2,"WrappedArray(Korea, Czech Republic)"
22582,PACK OF 6 SWEETIE GIFT BOXES,2,"WrappedArray(Austria, Nigeria)"
21239,PINK  SPOTTY CUP,2,"WrappedArray(RSA, Hong Kong)"
20677,PINK SPOTTY BOWL,2,"WrappedArray(RSA, Hong Kong)"
22969,HOMEMADE JAM SCENTED CANDLES,2,"WrappedArray(Australia, Saudi Arabia)"
20718,RED SPOTTY SHOPPER BAG,2,"WrappedArray(Austria, Israel)"
72741,dotcom,2,"WrappedArray(Malta, Singapore)"
20975,12 PENCILS SMALL TUBE RED SPOTTY,2,"WrappedArray(Sweden, Czech Republic)"
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2,"WrappedArray(Finland, Spain)"
21240,BLUE POLKADOT CUP,2,"WrappedArray(RSA, Hong Kong)"
21915,RED  HARMONICA IN BOX,2,"WrappedArray(Australia, Lithuania)"
17003,BROCADE RING PURSE,2,"WrappedArray(West Indies, United Kingdom)"
22307,GOLD MUG BONE CHINA TREE OF LIFE,2,"WrappedArray(Malta, Lithuania)"
37340,MULTICOLOUR SPRING FLOWER MUG,2,"WrappedArray(France, Bahrain)"
21928,JUMBO BAG SCANDINAVIAN PAISLEY,2,"WrappedArray(Channel Islands, Portugal)"
23077,DOUGHNUT LIP GLOSS,2,"WrappedArray(Finland, Bahrain)"
16156S,WRAP PINK FAIRY CAKES,2,"WrappedArray(Nigeria, Bermuda)"
22551,PLASTERS IN TIN SPACEBOY,2,"WrappedArray(Switzerland, Hong Kong)"
